tv,name,sector,industry,mcap_b,summary
NYSE:EL,"Estee Lauder Companies, Inc. (T",Consumer Defensive,Household & Personal Products,35.6,"The Estée Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and hair care products worldwide. The company provides skin care products, including moisturizers, serums, cleansers, toners, eye care, body care, exfoliators, acne care and oil correctors, facial masks, and sun care products; and makeup products, such as foundations, powders, concealers and setting spra"
NYSE:ELAN,Elanco Animal Health Incorporat,Healthcare,Drug Manufacturers - Specialty & Generic,11.9,"Elanco Animal Health Incorporated, an animal health company, innovates, develops, manufactures, and markets products for pets and farm animals worldwide. The company offers pet health products, such as parasiticides, vaccines, and therapeutics that protect pets from fleas, ticks, and internal parasites under the Seresto, K-9 Advantage, Advantix, and Advocate trademarks; prescription parasiticide p"
NYSE:ELS,"Equity Lifestyle Properties, In",Real Estate,REIT - Residential,12.2,"Equity LifeStyle Properties, Inc. is a self-administered, self-managed real estate investment trust. As of June 30, 2026, they own or have an interest in 453 properties in 35 states and British Columbia consisting of 173,419 sites. Equity LifeStyle Properties, Inc. is headquartered in Chicago. Equity LifeStyle Properties, Inc. was incorporated in 1992 in Maryland and based in Chicago, Illinois."
NYSE:ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,86.5,"Elevance Health, Inc., together with its subsidiaries, operates as a health benefits company in the United States. The company operates in four segments: Health Benefits, CarelonRx, Carelon Services, and Corporate & Other. It offers a variety of health plans and services to individual, employer group risk-based and fee-based, BlueCard, Medicare, Medicaid, and FEP members; health products; a broad "
TSX:EMA,EMERA INCORPORATED,Utilities,Utilities - Regulated Electric,21.3,"Emera Incorporated, an energy and services company, invests in generation, transmission, and distribution of electricity in the United States, Canada, Barbados, and the Bahamas. The company operates through Florida Electric Utility, Canadian Electric Utilities, Gas Utilities and Infrastructure, Other Electric Utilities, and Other segments. It is involved in the purchase, transmission, distribution"
NYSE:EMBJ,Embraer S.A.,Industrials,Aerospace & Defense,13.3,"Embraer S.A., together with its subsidiaries, engages in the design, development, manufacture, and sale of aircraft and systems worldwide. The company operates through Commercial Aviation; Defense & Security; Executive Aviation; Services & Support; and Other segments. The Commercial Aviation segment develops, produces, and sells commercial jets. The Defense & Security segment develops and produces"
NYSE:EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction,33.6,"EMCOR Group, Inc. provides electrical and mechanical construction and facilities, building, and industrial services in the United States and the United Kingdom. It offers design, integration, installation, startup, operation, and maintenance services related to power transmission, distribution, and generation systems; energy solutions; premises electrical and lighting systems; process instrumentat"
NYSE:EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,84.6,"Emerson Electric Co., a technology and software company, provides various solutions in the Americas, Asia, the Middle East, Africa, and Europe. It operates through Final Control, Measurement & Analytical, Discrete Automation, Safety & Productivity, Control Systems & Software, and Test & Measurement segments. The Final Control segment provides control valves, isolation valves, shutoff valves, press"
TSX:ENB,ENBRIDGE INC,Energy,Oil & Gas Midstream,151.4,"Enbridge Inc., together with its subsidiaries, operates as an energy infrastructure company. The company operates through four segments: Liquids Pipelines, Gas Transmission, Gas Distribution and Storage, and Renewable Power Generation. The Liquids Pipelines segment operates pipelines and related terminals to transport, store, and export various grades of crude oil and other liquid hydrocarbons in "
NYSE:ENB,Enbridge Inc,Energy,Oil & Gas Midstream,109.7,"Enbridge Inc., together with its subsidiaries, operates as an energy infrastructure company. The company operates through four segments: Liquids Pipelines, Gas Transmission, Gas Distribution and Storage, and Renewable Power Generation. The Liquids Pipelines segment operates pipelines and related terminals to transport, store, and export various grades of crude oil and other liquid hydrocarbons in "
NASDAQ:ENLT,Enlight Renewable Energy Ltd.,Utilities,Utilities - Renewable,10.6,"Enlight Renewable Energy Ltd operates a renewable energy platform in Israel, the Middle East, North Africa, Europe, the United States, and internationally. The company develops, finances, constructs, owns, and operates utility-scale renewable energy projects. It develops wind energy and solar energy projects, as well as energy storage projects. The company holds a portfolio of renewable energy pro"
NASDAQ:ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,21.7,"Entegris, Inc. provides advanced materials and process solutions for the semiconductor and other high-technology industries in North America, Taiwan, South Korea, Japan, China, Europe, and Southeast Asia. It operates in two segments, Materials Solutions (MS) and Advanced Purity Solutions (APS). The MS segment provides materials-based solutions, such as chemical vapor and atomic layer deposition ma"
NYSE:EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,77.0,"EOG Resources, Inc., together with its subsidiaries, explores for, develops, produces, and markets crude oil, natural gas liquids, and natural gas in producing basins in the United States, the Republic of Trinidad and Tobago, and internationally. The company also offers crude oil and condensate, and gathering, processing and marketing. The company was formerly known as Enron Oil & Gas Company. EOG"
NYSE:EPD,Enterprise Products Partners L.,Energy,Oil & Gas Midstream,84.4,"Enterprise Products Partners L.P. provides midstream energy services to producers and consumers of natural gas, natural gas liquids (NGLs), crude oil, petrochemicals, and refined products. It operates in four segments: NGL Pipelines & Services; Crude Oil Pipelines & Services; Natural Gas Pipelines & Services; and Petrochemical & Refined Products Services. The NGL Pipelines & Services segment offer"
NYSE:EQH,"Equitable Holdings, Inc.",Financial Services,Asset Management,14.2,"Equitable Holdings, Inc., together with its consolidated subsidiaries, operates as a diversified financial services company worldwide. The company operates through six segments: Individual Retirement, Group Retirement, Asset Management, Protection Solutions, Wealth Management, and Legacy. The Individual Retirement variable annuity products, including structured capital strategies, retirement corne"
NASDAQ:EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,102.6,"Equinix, Inc. shortens the path to boundless connectivity anywhere in the world. Its digital infrastructure, data center footprint and interconnected ecosystems empower innovations that enhance our work, life and planet. Equinix connects economies, countries, organizations and communities, delivering seamless digital experiences and cutting-edge AI quickly, efficiently and everywhere. Equinix, Inc"
NYSE:EQNR,Equinor ASA,Energy,Oil & Gas Integrated,106.5,"Equinor ASA operates as an energy company in Norway and internationally. It operates through Exploration & Production Norway; Exploration & Production International; Exploration & Production USA; Marketing, Midstream & Processing; and Renewables segments. The company engages in the discovery and appraisal of new resources, as well as commercial development and operation of the oil and gas portfoli"
NYSE:EQT,EQT Corporation,Energy,Oil & Gas E&P,33.6,"EQT Corporation engages in the exploration, production, gathering, and transmission of hydrocarbons and natural gas. The company sells natural gas, natural gas liquids, and oil to marketers, utilities, and industrial customers located in the Appalachian Basin. It also provides marketing services and contractual pipeline capacity management services, as well as engages in risk management and hedgin"
NASDAQ:ERIC,Ericsson,Technology,Communication Equipment,33.0,"Telefonaktiebolaget LM Ericsson (publ), together with its subsidiaries, provides mobile connectivity solutions to communications service providers, enterprises, and the public sector in the Americas, Europe, the Middle East, Africa, Northeast Asia, Southeast Asia, Oceania, and India. It operates through Networks; Cloud Software and Services; Enterprise; and Other segments. The Networks segment off"
NYSE:ES,Eversource Energy (D/B/A),Utilities,Utilities - Regulated Electric,26.4,"Eversource Energy, a public utility holding company, engages in the energy delivery business. The company operates through Electric Distribution, Electric Transmission, Natural Gas Distribution, and Water Distribution segments. It is involved in the transmission and distribution of electricity; solar power facilities; and distribution of natural gas. The company also operates regulated water utili"
NASDAQ:ESLT,Elbit Systems Ltd.,Industrials,Aerospace & Defense,33.8,"Elbit Systems Ltd., together with its subsidiaries, develops and supplies defense and homeland security arenas products and services in Israel, North America, Europe, the Asia-Pacific, Latin America, and internationally. The company operates through five segments: Aerospace; C4I and Cyber; Intelligence, Surveillance, Target Acquisition and Reconnaissance and Electronic Warfare; Land; and Elbit Sys"
NYSE:ET,Energy Transfer LP,Energy,Oil & Gas Midstream,74.2,"Energy Transfer LP, together with its subsidiaries, provides energy-related services in the United States. It operates through Intrastate Transportation and Storage; Interstate Transportation and Storage; Midstream; Natural Gas Liquid (NGL) and Refined Products Transportation and Services; Crude Oil Transportation and Services; Investment in Sunoco LP; Investment in USA Compression Partners, LP (U"
NYSE:ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,162.0,"Eaton Corporation plc operates as a power management company in the United States, Canada, Latin America, Europe, and the Asia Pacific. It operates through Electrical Americas, Electrical Global, Aerospace, Vehicle, and eMobility segments. The company offers electrical and industrial components, power distribution and assemblies, residential products, single- and three-phase power quality and conn"
NYSE:ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,51.1,"Entergy Corporation, together with its subsidiaries, engages in the production and retail distribution of electricity in the United States. It generates, transmits, distributes, and sells electric power in portions of Arkansas, Louisiana, Mississippi, and Texas, including the City of New Orleans. It also engages in the ownership of interests in non-nuclear power plants that sell electric power to "
NYSE:EVR,Evercore Inc.,Financial Services,Capital Markets,11.1,"Evercore Inc., together with its subsidiaries, operates as an independent investment banking firm in the Americas, Europe, Middle East, Africa, and Asia-Pacific. The company operates through two segments, Investment Banking & Equities, and Investment Management. The Investment Banking & Equities segment offers strategic advisory services, such as mergers, and acquisitions, strategic, defense, and "
NASDAQ:EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,18.7,"Evergy, Inc., together with its subsidiaries, engages in the generation, transmission, distribution, and sale of electricity in the United States. The company generates electricity through coal, landfill gas, uranium, and natural gas and oil sources, as well as solar, wind, and other renewable sources. It serves residences, commercial firms, industrials, municipalities, and other electric utilitie"
NYSE:EW,Edwards Lifesciences Corporatio,Healthcare,Medical Devices,49.6,"Edwards Lifesciences Corporation provides products and technologies to treat advanced cardiovascular diseases in the United States, Europe, Japan, and internationally. It offers transcatheter heart valve replacement products for minimally invasive replacement of aortic heart valves under the Edwards SAPIEN family of valves system; and transcatheter heart valve repair and replacement products to tr"
NASDAQ:EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,44.8,"Exelon Corporation, a utility services holding company, engages in the energy distribution and transmission businesses in the United States. The company is involved in the purchase and regulated retail sale of electricity and natural gas; transmission and distribution of electricity; and distribution of natural gas to retail customers. It serves residential, commercial, industrial, and public auth"
NASDAQ:EXE,Expand Energy Corporation,Energy,Oil & Gas E&P,22.3,"Expand Energy Corporation operates as an independent natural gas production company in the United States. The company engages in acquisition, exploration, and development of properties to produce oil, natural gas, and natural gas liquids. It holds interests in the Marcellus Shale in the northern Appalachian Basin in Pennsylvania; the Marcellus and Utica Shales in Ohio and West Virginia; and the Ha"
NASDAQ:EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,14.3,"Exelixis, Inc., an oncology company, focuses on the discovery, development, and commercialization of new medicines for difficult-to-treat cancers in the United States. The company offers CABOMETYX tablets for the treatment of patients with advanced renal cell carcinoma who received prior anti-angiogenic therapy; and COMETRIQ capsules for the treatment of progressive and metastatic medullary thyroi"
NYSE:EXPD,Expeditors International of Was,Industrials,Integrated Freight & Logistics,24.2,"Expeditors International of Washington, Inc., together with its subsidiaries, provides logistics services in the Americas, North Asia, South Asia, Europe, and Middle East, Africa, and India. The company offers airfreight services, such as air freight consolidation and forwarding; ocean freight and ocean services, including ocean freight consolidation, direct ocean forwarding, and order management;"
NASDAQ:EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,32.7,"Expedia Group, Inc. operates as an online travel company in the United States and internationally. The company operates through B2C, B2B, and trivago segments. The B2C segment includes Brand Expedia, a full-service online travel brand offers various travel products and services; Hotels.com for lodging accommodations; Vrbo, an online marketplace for the alternative accommodations; and Orbitz, Trave"
NYSE:EXR,Extra Space Storage Inc,Real Estate,REIT - Industrial,30.1,"Extra Space Storage Inc., headquartered in Salt Lake City, Utah, is a self-administered and self-managed REIT and a member of the S&P 500. As of June 30, 2026, the Company owned and/or operated 4,410 self-storage stores in 42 states and Washington, D.C. The Company's stores comprise approximately 3.0 million units and approximately 341.0 million square feet of rentable space operating under the Ex"
NYSE:F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,55.3,"Ford Motor Company develops, delivers, and services Ford trucks, sport utility vehicles, commercial vans and cars, and Lincoln luxury vehicles in the United States, Canada, the United Kingdom, Mexico, and internationally. It operates through Ford Blue, Ford Model e, Ford Pro, and Ford Credit segments. The company sells Ford and Lincoln internal combustion engine and hybrid vehicles, electric vehic"
NASDAQ:FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,56.1,"Diamondback Energy, Inc., an independent oil and natural gas company, acquires, develops, explores, and exploits unconventional, onshore oil and natural gas reserves in the Permian Basin in West Texas, the United States. The company primarily focuses on the development of the Spraberry and Wolfcamp formations of the Midland Basin; and the Wolfcamp and Bone Spring formations of the Delaware Basin, "
NASDAQ:FAST,Fastenal Company,Industrials,Industrial Distribution,56.1,"Fastenal Company, together with its subsidiaries, engages in the wholesale distribution of industrial and construction supplies in the United States, Canada, Mexico, and internationally. It offers fasteners, and related industrial and construction supplies under the Fastenal name. The company's fastener products include threaded fasteners, bolts, nuts, screws, studs, and related washers that are u"
NYSE:FCX,"Freeport-McMoRan, Inc.",Basic Materials,Copper,110.3,"Freeport-McMoRan Inc. engages in the mining of mineral properties in North America, South America, and Indonesia. The company primarily explores for copper, gold, molybdenum, silver, and other metals. Its assets include the Grasberg minerals district in Indonesia; Morenci, Bagdad, Safford, Sierrita, and Miami in Arizona; Chino and Tyrone in New Mexico; and Henderson and Climax in Colorado, North A"
NYSE:FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,73.2,"FedEx Corporation, together with its subsidiaries, provides transportation, e-commerce, and business services in the United States and internationally. The company operates through two segments, Express U.S. Domestic and Express International. It provides e-commerce and digital solutions; dataworks; printing and shipping management, including digital printing, professional finishing, document crea"
NYSE:FDXF,"FedEx Freight Holding Company, ",Industrials,Integrated Freight & Logistics,18.9,"FedEx Freight Holding Company, Inc. provides less-than-truckload freight transportation services in the United States and internationally. The company offers FedEx Freight Priority services, including next-business-day service for shipments traveling up to 600 miles and second-business-day service for shipments traveling up to 1,600 miles and backed by a money-back service guarantee if published d"
NYSE:FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,26.6,"FirstEnergy Corp., together with its subsidiaries, engages in the generation, distribution, and transmission of electricity in the United States. It operates through Distribution, Integrated, and Stand-Alone Transmission segments. The company owns and operates coal-fired, nuclear, hydroelectric, wind, and solar power generating facilities. The company operates 252,959 distribution line miles and 2"
NASDAQ:FER,Ferrovial N.V.,Industrials,Engineering & Construction,40.8,"Ferrovial N.V., together with its subsidiaries, engages in the development, construction, and operation of highways and airports in the United States, Poland, Spain, the United Kingdom, Canada, and internationally. It operates through four segments: Construction, Highways, Airports, and Energy. The company is involved in the development, financing, and operation of toll road infrastructure and con"
NYSE:FERG,Ferguson Enterprises Inc.,Industrials,Industrial Distribution,43.1,"Ferguson Enterprises Inc. distributes essential water and air solutions to specialized professional in the United States and Canada. The company provides various products and services, including plumbing; pipe, valves, and fittings; heating, ventilation, and air conditioning; appliances; lighting; and water and wastewater solutions to residential and non-residential customers. It also supplies spe"
TSX:FFH,FAIRFAX FINANCIAL HOLDINGS LTD.,Financial Services,Insurance - Property & Casualty,45.7,"Fairfax Financial Holdings Limited, through its subsidiaries, provides property and casualty insurance and reinsurance, and investment management services in Canada, the United States, the Middle East and Asia, and internationally. It operates through Property and Casualty Insurance and Reinsurance; Life insurance and Run-off; and Non-Insurance Companies segments. The company offers property insur"
NASDAQ:FFIV,"F5, Inc.",Technology,Software - Infrastructure,22.9,"F5, Inc. provides multicloud application security and delivery solutions in the United States, Europe, the Middle East, Africa, and the Asia Pacific region. The company's distributed cloud services enable its customers to deploy, secure, and operate applications in any architecture, from on-premises to the public cloud. It also offers unified, security, networking, and application management solut"
NYSE:FHN,First Horizon Corporation,Financial Services,Banks - Regional,11.6,"First Horizon Corporation operates as the bank holding company for First Horizon Bank that provides various financial services. It operates through Regional Banking, Specialty Banking, and Corporate segments. The company offers commercial banking, business banking, consumer banking, private client investment, wealth management, financial planning, trust and asset management services, asset-based l"
NYSE:FICO,Fair Isaac Corporation,Technology,Software - Application,20.4,"Fair Isaac Corporation provides analytics software in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Scores and Software. The Scores segment offers business-to-business scoring solutions and services that give clients access to predictive credit and other scores that can be integrated into their transaction streams and decision-making process"
NYSE:FIS,Fidelity National Information S,Technology,Information Technology Services,19.9,"Fidelity National Information Services, Inc. provides solutions to financial institutions, businesses, and developers worldwide. The company operates through Banking Solutions, Capital Market Solutions, and Corporate and Other segments. It provides core processing and ancillary applications; mobile and online banking; fraud, risk management, and compliance; card and retail payment; electronic fund"
NYSE:FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,49.0,"Fifth Third Bancorp operates as the bank holding company for Fifth Third Bank, National Association that provides a range of financial products and services in the United States. It operates through three segments: Commercial Banking, Consumer and Small Business Banking, and Wealth and Asset Management. The Commercial Banking segment offers credit intermediation, cash management, and financial ser"
NASDAQ:FIVE,"Five Below, Inc.",Consumer Cyclical,Specialty Retail,13.7,"Five Below, Inc. operates as a specialty value retailer in the United States. It offers assortment of classic and novelty candy bars, movie-size box candy, seasonal-related candy, gum, and snack food products, as well as sells chilled drinks through coolers; socks, jewelry, hair accessories, cozy loungewear, and t-shirts; personal care essentials, skincare, fragrance, and branded cosmetics; and pa"
NYSE:FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,57.4,"Comfort Systems USA, Inc., together with its subsidiaries, provides mechanical and electrical installation, renovation, maintenance, repair, and replacement services for the mechanical and electrical services industry in the United States. The company operates through two segments: Mechanical and Electrical. It offers heating, ventilation, and air conditioning systems, as well as plumbing, electri"
NASDAQ:FLEX,Flex Ltd.,Technology,Electronic Components,41.8,"Flex Ltd. provides technology innovation, supply chain, and manufacturing solutions to data center, communications, enterprise, consumer, automotive, healthcare, industrial, and power industries in the Americas, Asia, and Europe. The company operates through three segments: Integrated Technology Solutions (ITS), Regulated Manufacturing Solutions (RMS), and Cloud and Power Infrastructure (CPI). The"
NYSE:FLUT,Flutter Entertainment plc,Consumer Cyclical,Gambling,17.0,"Flutter Entertainment plc operates as a sports betting and gaming company in the United States, the United Kingdom, Ireland, Australia, Italy, and internationally. It provides sportsbooks; iGaming products, such as blackjack, roulette, slot machines, poker, and rummy, as well as lottery products; and sports betting products, which include Betfair betting exchanges, daily fantasy sports, and horse "
TSX:FM,FIRST QUANTUM MINERALS LTD,Basic Materials,Copper,38.3,"First Quantum Minerals Ltd., together with its subsidiaries, engages in the exploration, development, and production of mineral properties. It primarily explores for copper, gold, nickel, silver, and zinc products. Its flagship project is the 100% owned Kansanshi project located in the northwestern Province of Zambia. The company was formerly known as First Quantum Ventures Ltd. and changed its na"
NYSE:FMS,Fresenius Medical Care AG,Healthcare,Medical Care Facilities,11.9,"Fresenius Medical Care AG provides dialysis and related services for individuals with renal diseases in Germany, the United States, and internationally. The company offers dialysis treatment and related laboratory and diagnostic services through a network of outpatient dialysis clinics; materials, training, and patient support services comprising clinical monitoring, follow-up assistance, and arra"
NYSE:FMX,Fomento Economico Mexicano S.A.,Consumer Defensive,Beverages - Brewers,40.6,"Fomento Económico Mexicano, S.A.B. de C.V., through its subsidiaries, operates as a franchise bottler of Coca-Cola trademark beverages worldwide. The company operates through Coca-Cola FEMSA, Proximity Americas Division, Proximity Europe Division, Health Division, Fuel Division, and Others segments. It produces, markets, and distributes Coca-Cola trademark beverages in Mexico, Guatemala, Nicaragua"
NYSE:FN,Fabrinet,Technology,Electronic Components,15.2,"Fabrinet provides optical packaging and precision optical, electro-mechanical, and electronic manufacturing services in North America, the Asia-Pacific, Europe, and internationally. The company offers a range of advanced optical and electro-mechanical capabilities in the manufacturing process, including process design and engineering, supply chain management, manufacturing, printed circuit board a"
NYSE:FNF,"Fidelity National Financial, In",Financial Services,Insurance - Specialty,11.9,"Fidelity National Financial, Inc., together with its subsidiaries, provides various insurance products in the United States. It operates through Title, F&G, and Corporate and Other segments. The company offers title insurance, escrow, and other title related services, including trust activities, trustee sales guarantees, recordings and reconveyances, and home warranty products. It also provides te"
TSX:FNV,FRANCO-NEVADA CORPORATION,Basic Materials,Gold,71.0,"Franco-Nevada Corporation operates as a royalty and stream company focused on precious metals in South America, Central America, Mexico, the United States, Canada, Australia, Europe, and Africa. The company operates through Precious Metals, Other Mining and Energy segments. It also manages its portfolio with a focus on precious metals, such as gold, silver, and platinum group metals; and engages i"
NYSE:FNV,Franco-Nevada Corporation,Basic Materials,Gold,51.5,"Franco-Nevada Corporation operates as a royalty and stream company focused on precious metals in South America, Central America, Mexico, the United States, Canada, Australia, Europe, and Africa. The company operates through Precious Metals, Other Mining and Energy segments. It also manages its portfolio with a focus on precious metals, such as gold, silver, and platinum group metals; and engages i"
NASDAQ:FOX,Fox Corporation,Communication Services,Entertainment,24.0,"Fox Corporation operates as a news, sports, and entertainment company in the United States. It operates in two segments, Cable Network Programming and Television. The Cable Network Programming segment produces and licenses news and sports content for distribution through traditional cable television systems, direct broadcast satellite operators, telecommunication companies, virtual multi-channel v"
NASDAQ:FOXA,Fox Corporation,Communication Services,Entertainment,26.9,"Fox Corporation operates as a news, sports, and entertainment company in the United States. It operates in two segments, Cable Network Programming and Television. The Cable Network Programming segment produces and licenses news and sports content for distribution through traditional cable television systems, direct broadcast satellite operators, telecommunication companies, virtual multi-channel v"
NASDAQ:FSLR,"First Solar, Inc.",Technology,Solar,22.0,"First Solar, Inc., a solar technology company, provides photovoltaic (PV) solar energy solutions in the United States, France, India, Chile, and internationally. The company manufactures and sells PV solar modules with thin film semiconductor technology that provides conventional crystalline silicon PV solar modules. It also designs, manufactures, and sells cadmium telluride solar modules that con"
NASDAQ:FTAI,FTAI Aviation Ltd.,Industrials,Aerospace & Defense,19.1,"FTAI Aviation Ltd. owns, acquires, and sells aviation equipment for the transportation of goods and people worldwide. It operates in two segments, Aviation Leasing and Aerospace Products. The Aviation Leasing segment owns, leases, manages, and sells aircraft and aircraft engines. As of December 31, 2025, this segment owned and managed 290 aviation assets consisting of 47 commercial aircraft and 24"
NYSE:FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,30.6,"TechnipFMC plc engages in the oil and natural gas projects, technologies, systems, and services businesses in Europe, Central Asia, North America, Latin America, the Asia Pacific, Africa, the Middle East, and internationally. It operates through two segments, Subsea and Surface Technologies. The Subsea segment engages in design, engineering, procurement, manufacturing, fabrication, installation, a"
NASDAQ:FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,115.1,"Fortinet, Inc. provides cybersecurity and convergence of networking and security solutions worldwide. The company offers FortiOS, a unified operating system designed to address cybersecurity threats; FortiASIC application-specific integrated circuit (ASIC)-based security processing units; FortiCloud, a private cloud software as a service platform; FortiAI, which provides a dual-layered defense acr"
TSX:FTS,FORTIS INC,Utilities,Utilities - Regulated Electric,38.8,"Fortis Inc. operates as an electric and gas utility company in Canada, the United States, and the Caribbean countries. The company generates, transmits, and distributes electricity to approximately 459,000 retail customers in southeastern Arizona, including the greater Tucson metropolitan area; and 107,000 retail customers in southeastern Arizona with an aggregate capacity of 3, 443 megawatts (MW)"
NYSE:FTS,Fortis Inc.,Utilities,Utilities - Regulated Electric,28.1,"Fortis Inc. operates as an electric and gas utility company in Canada, the United States, and the Caribbean countries. The company generates, transmits, and distributes electricity to approximately 459,000 retail customers in southeastern Arizona, including the greater Tucson metropolitan area; and 107,000 retail customers in southeastern Arizona with an aggregate capacity of 3, 443 megawatts (MW)"
NYSE:FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,17.0,"Fortive Corporation designs, develops, manufactures, and markets products, software, and services in the United States, China, and internationally. It operates through Intelligent Operating Solutions and Advanced Healthcare Solutions segments. The Intelligent Operating Solutions segment provides advanced instrumentation, software, and services, including maintenance, repair, measurement and condit"
NASDAQ:FUTU,Futu Holdings Limited,Financial Services,Capital Markets,16.6,"Futu Holdings Limited engages in the provision of digitalized securities brokerage and wealth management product distribution service in Hong Kong and internationally. It offers online financial services, including securities and derivative trades brokerage, margin financing and fund distribution services through its Futubull and Moomoo digital platforms. The company also provides financial inform"
NASDAQ:FWONK,Liberty Media Corporation - Ser,Communication Services,Entertainment,24.0,"Formula One Group, together with its subsidiaries, engages in the motorsports business in the United States, the United Kingdom, Spain, and internationally. The company holds commercial rights for the Fédération Internationale de l'Automobile (FIA) Formula One World Championship, an annual nine-month long motor race-based competition in which teams compete for the Constructors' championship and dr"
NYSE:GD,General Dynamics Corporation,Industrials,Aerospace & Defense,95.4,"General Dynamics Corporation operates as an aerospace and defense company worldwide. It operates through four segments: Aerospace, Marine Systems, Combat Systems, and Technologies. The Aerospace segment produces and sells business jets; and offers aircraft maintenance and repair, management, aircraft-on-ground support, customer support and custom completion services, modifications, upgrades, and l"
NYSE:GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,11.8,"GoDaddy Inc. engages in the design and development of cloud-based products in the United States and internationally. It operates in two segments: Applications and Commerce (A&C), and Core Platform (Core). The A&C segment offers applications products, including Websites + Marketing, a mobile-optimized online tool that enables customers to build websites and e-commerce enabled online stores; and Man"
NYSE:GE,GE Aerospace,Industrials,Aerospace & Defense,337.5,"General Electric Company, doing business as GE Aerospace, designs and produces commercial and defense aircraft engines, integrated engine components, electric power, and aircraft systems. The company operates through two segments, Commercial Engines & Services, and Defense & Propulsion Technologies. The Commercial Engines & Services segment designs, develops, manufactures, maintenance, repair, and"
NASDAQ:GEHC,GE HealthCare Technologies Inc.,Healthcare,Medical Devices,29.7,"GE HealthCare Technologies Inc. engages in the development, manufacture, and marketing of products, services, and complementary digital solutions used in the diagnosis, treatment, and monitoring of patients in the United States, Canada, and internationally. The company operates through four segments: Imaging, Advanced Visualization Solutions (AVS), Patient Care Solutions (PCS), and Pharmaceutical "
NASDAQ:GEN,Gen Digital Inc.,Technology,Software - Infrastructure,17.7,"Gen Digital Inc. engages in the provision of cyber safety and trust-based solutions for individuals, families, and small businesses. The company offers security and performance management, identity protection, and online privacy, as well as technology platforms. It also provides restoration support services, digital reputation, and secure financial wellness. The company offers its products under t"
NYSE:GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,254.5,"GE Vernova Inc., an energy company, engages in the provision of various products and services that generate, transfer, orchestrate, convert, and store electricity in the United States, Europe, Asia, the Middle East, and Africa. The company operates through three segments: Power, Wind, and Electrification. The Power segment designs, manufactures, and services gas, nuclear, hydro, and steam technolo"
NYSE:GFI,Gold Fields Limited,Basic Materials,Gold,42.0,"Gold Fields Limited operates as a gold producer with reserves and resources in South Africa, Ghana, Australia, Peru, Canada, and Chile. It also explores for gold, copper and silver deposits. Gold Fields Limited was founded in 1887 and is based in Sandton, South Africa."
TSX:GFL,GFL ENVIRONMENTAL INC,Industrials,Waste Management,20.8,"GFL Environmental Inc. provides non-hazardous solid waste management services in Canada and the United States. It offers solid waste management services, including collection, transportation, transfer, recycling, and disposal services for municipal, residential, commercial, and industrial customers. The company was incorporated in 2007 and is headquartered in Miami Beach, Florida."
NYSE:GFL,GFL Environmental Inc. Subordin,Industrials,Waste Management,15.1,"GFL Environmental Inc. provides non-hazardous solid waste management services in Canada and the United States. It offers solid waste management services, including collection, transportation, transfer, recycling, and disposal services for municipal, residential, commercial, and industrial customers. The company was incorporated in 2007 and is headquartered in Miami Beach, Florida."
NASDAQ:GFS,GlobalFoundries Inc.,Technology,Semiconductors,25.2,"GLOBALFOUNDRIES Inc., a semiconductor foundry, provides range of mainstream wafer fabrication services and technologies in the United States, Europe, the Middle East, Africa, and internationally. It offers semiconductor devices, including microprocessors, mobile application processors, baseband processors, network processors, radio frequency modems, microcontrollers, and power management units. Th"
NYSE:GGG,Graco Inc.,Industrials,Specialty Industrial Machinery,12.4,"Graco Inc. designs, manufactures, and markets systems and equipment used to move, measure, mix, control, dispense, and spray fluid and powder materials in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through three segments: Contractor, Industrial and Expansion Markets. The Contractor segment provides sprayers to apply paint to walls and other structures; two-com"
